	0.39745	0.7949	0.79545	0.796	1.17	1.772	Source	Target
Mn2+##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Mn2+	bc1001
bc1001##Myristic acid##Microbe	-0.11075096	-0.04330026	-0.04330026	-0.04330026	-1.33e-06	0.0	bc1001	Myristic acid
Myristic acid##bc1001##Metabolite	0.11075096	0.04330026	0.04330026	0.04330026	1.33e-06	0.0	Myristic acid	bc1001
bc1001##N-Acetyl-D-glucosamine##Microbe	-0.15089153	-0.05899401	-0.05899401	-0.05899401	-1.81e-06	0.0	bc1001	N-Acetyl-D-glucosamine
N-Acetyl-D-glucosamine##bc1001##Metabolite	0.15089153	0.05899401	0.05899401	0.05899401	1.81e-06	0.0	N-Acetyl-D-glucosamine	bc1001
bc1001##NADP##Microbe	-0.00823396	-0.00321923	-0.00321923	-0.00321923	-1e-07	0.0	bc1001	NADP
NADP##bc1001##Metabolite	0.00823396	0.00321923	0.00321923	0.00321923	1e-07	0.0	NADP	bc1001
bc1001##Niacin##Microbe	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	bc1001	Niacin
bc1001##Nicotinamide ribonucleotide##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Nicotinamide ribonucleotide
Nicotinamide ribonucleotide##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Nicotinamide ribonucleotide	bc1001
bc1001##Nitrite##Microbe	0.02058491	0.00804808	0.00804808	0.00804808	2.5e-07	0.0	bc1001	Nitrite
bc1001##O2##Microbe	-9.62923615	-3.76473928	-3.76473928	-3.76473928	-0.00011579	-1e-08	bc1001	O2
O2##bc1001##Metabolite	9.62923615	3.76473928	3.76473928	3.76473928	0.00011579	1e-08	O2	bc1001
bc1001##Oxidized glutathione##Microbe	-0.00205849	-0.00080481	-0.00080481	-0.00080481	-2e-08	0.0	bc1001	Oxidized glutathione
Oxidized glutathione##bc1001##Metabolite	0.00205849	0.00080481	0.00080481	0.00080481	2e-08	0.0	Oxidized glutathione	bc1001
bc1001##Putrescine##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Putrescine
Putrescine##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Putrescine	bc1001
bc1001##Pyridoxal##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Pyridoxal
Pyridoxal##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Pyridoxal	bc1001
bc1001##Riboflavin##Microbe	-0.01235095	-0.00482885	-0.00482885	-0.00482885	-1.5e-07	0.0	bc1001	Riboflavin
Riboflavin##bc1001##Metabolite	0.01235095	0.00482885	0.00482885	0.00482885	1.5e-07	0.0	Riboflavin	bc1001
bc1001##S-Adenosyl-L-methionine##Microbe	-0.01235095	-0.00482885	-0.00482885	-0.00482885	-1.5e-07	0.0	bc1001	S-Adenosyl-L-methionine
S-Adenosyl-L-methionine##bc1001##Metabolite	0.01235095	0.00482885	0.00482885	0.00482885	1.5e-07	0.0	S-Adenosyl-L-methionine	bc1001
bc1001##Spermidine##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Spermidine
Spermidine##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Spermidine	bc1001
bc1001##Sulfate##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Sulfate
Sulfate##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Sulfate	bc1001
bc1001##TRHL##Microbe	-0.0869002	-0.03397534	-0.03397534	-0.03397534	-1.04e-06	0.0	bc1001	TRHL
TRHL##bc1001##Metabolite	0.0869002	0.03397534	0.03397534	0.03397534	1.04e-06	0.0	TRHL	bc1001
bc1001##TTP##Microbe	-0.01313873	-0.00513685	-0.00513685	-0.00513685	-1.6e-07	0.0	bc1001	TTP
TTP##bc1001##Metabolite	0.01313873	0.00513685	0.00513685	0.00513685	1.6e-07	0.0	TTP	bc1001
bc1001##Thiamin##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Thiamin
Thiamin##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Thiamin	bc1001
bc1001##UMP##Microbe	-0.13737861	-0.05371087	-0.05371087	-0.05371087	-1.65e-06	0.0	bc1001	UMP
UMP##bc1001##Metabolite	0.13737861	0.05371087	0.05371087	0.05371087	1.65e-06	0.0	UMP	bc1001
bc1001##Zn2+##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Zn2+
Zn2+##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Zn2+	bc1001
bc1001##dATP##Microbe	-0.01313873	-0.00513685	-0.00513685	-0.00513685	-1.6e-07	0.0	bc1001	dATP
dATP##bc1001##Metabolite	0.01313873	0.00513685	0.00513685	0.00513685	1.6e-07	0.0	dATP	bc1001
bc1001##dGTP##Microbe	-0.02974219	-0.01162829	-0.01162829	-0.01162829	-3.6e-07	0.0	bc1001	dGTP
dGTP##bc1001##Metabolite	0.02974219	0.01162829	0.01162829	0.01162829	3.6e-07	0.0	dGTP	bc1001
bc1001##ddca##Microbe	-0.10941087	-0.04277633	-0.04277633	-0.04277633	-1.32e-06	0.0	bc1001	ddca
ddca##bc1001##Metabolite	0.10941087	0.04277633	0.04277633	0.04277633	1.32e-06	0.0	ddca	bc1001
bc1001##fe3##Microbe	-0.01235095	-0.00482885	-0.00482885	-0.00482885	-1.5e-07	0.0	bc1001	fe3
fe3##bc1001##Metabolite	0.01235095	0.00482885	0.00482885	0.00482885	1.5e-07	0.0	fe3	bc1001
bc1001##meso-2,6-Diaminopimelate##Microbe	-0.03669364	-0.0143461	-0.0143461	-0.0143461	-4.4e-07	0.0	bc1001	meso-2,6-Diaminopimelate
meso-2,6-Diaminopimelate##bc1001##Metabolite	0.03669364	0.0143461	0.0143461	0.0143461	4.4e-07	0.0	meso-2,6-Diaminopimelate	bc1001
bc1002##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	-0.18342304	-0.07171284	-0.07171284	-0.07171284	-2.14e-06	0.0	bc1002	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1002##Metabolite	0.18342304	0.07171284	0.07171284	0.07171284	2.14e-06	0.0	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1002
bc1002##4-Hydroxybenzoate##Microbe	-0.00413155	-0.00161531	-0.00161531	-0.00161531	-5e-08	0.0	bc1002	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1002##Metabolite	0.00413155	0.00161531	0.00161531	0.00161531	5e-08	0.0	4-Hydroxybenzoate	bc1002
bc1002##5-Aminolevulinate##Microbe	-0.0330524	-0.01292249	-0.01292249	-0.01292249	-3.9e-07	0.0	bc1002	5-Aminolevulinate
5-Aminolevulinate##bc1002##Metabolite	0.0330524	0.01292249	0.01292249	0.01292249	3.9e-07	0.0	5-Aminolevulinate	bc1002
bc1002##AMP##Microbe	-0.15808184	-0.06180521	-0.06180521	-0.06180521	-1.85e-06	0.0	bc1002	AMP
AMP##bc1002##Metabolite	0.15808184	0.06180521	0.06180521	0.06180521	1.85e-06	0.0	AMP	bc1002
bc1002##Acetate##Microbe	8.40260251	3.28516273	3.28516273	3.28516273	9.821e-05	1e-08	bc1002	Acetate
bc1002##Ala-Ala##Microbe	-0.03682348	-0.01439686	-0.01439686	-0.01439686	-4.3e-07	0.0	bc1002	Ala-Ala
Ala-Ala##bc1002##Metabolite	0.03682348	0.01439686	0.01439686	0.01439686	4.3e-07	0.0	Ala-Ala	bc1002
bc1002##BET##Microbe	-0.0082631	-0.00323062	-0.00323062	-0.00323062	-1e-07	0.0	bc1002	BET
BET##bc1002##Metabolite	0.0082631	0.00323062	0.00323062	0.00323062	1e-07	0.0	BET	bc1002
bc1002##BIOT##Microbe	-0.00413155	-0.00161531	-0.00161531	-0.00161531	-5e-08	0.0	bc1002	BIOT
BIOT##bc1002##Metabolite	0.00413155	0.00161531	0.00161531	0.00161531	5e-08	0.0	BIOT	bc1002
bc1002##CMP##Microbe	-0.12382702	-0.04841261	-0.04841261	-0.04841261	-1.45e-06	0.0	bc1002	CMP
CMP##bc1002##Metabolite	0.12382702	0.04841261	0.04841261	0.04841261	1.45e-06	0.0	CMP	bc1002
bc1002##CO2##Microbe	10.63673098	4.1586392	4.1586392	4.1586392	0.00012433	1e-08	bc1002	CO2
bc1002##Ca2+##Microbe	-0.00413155	-0.00161531	-0.00161531	-0.00161531	-5e-08	0.0	bc1002	Ca2+
Ca2+##bc1002##Metabolite	0.00413155	0.00161531	0.00161531	0.00161531	5e-08	0.0	Ca2+	bc1002
bc1002##Chorismate##Microbe	-0.0082631	-0.00323062	-0.00323062	-0.00323062	-1e-07	0.0	bc1002	Chorismate
Chorismate##bc1002##Metabolite	0.0082631	0.00323062	0.00323062	0.00323062	1e-07	0.0	Chorismate	bc1002
bc1002##Cl-##Microbe	-0.00413155	-0.00161531	-0.00161531	-0.00161531	-5e-08	0.0	bc1002	Cl-
Cl-##bc1002##Metabolite	0.00413155	0.00161531	0.00161531	0.00161531	5e-08	0.0	Cl-	bc1002
bc1002##Co2+##Microbe	-0.00413155	-0.00161531	-0.00161531	-0.00161531	-5e-08	0.0	bc1002	Co2+
Co2+##bc1002##Metabolite	0.00413155	0.00161531	0.00161531	0.00161531	5e-08	0.0	Co2+	bc1002
bc1002##CoA##Microbe	-0.0082631	-0.00323062	-0.00323062	-0.00323062	-1e-07	0.0	bc1002	CoA
CoA##bc1002##Metabolite	0.0082631	0.00323062	0.00323062	0.00323062	1e-07	0.0	CoA	bc1002
bc1002##Cu2+##Microbe	-0.00413155	-0.00161531	-0.00161531	-0.00161531	-5e-08	0.0	bc1002	Cu2+
Cu2+##bc1002##Metabolite	0.00413155	0.00161531	0.00161531	0.00161531	5e-08	0.0	Cu2+	bc1002
bc1002##D-Arabinose##Microbe	-0.11047044	-0.04319059	-0.04319059	-0.04319059	-1.29e-06	0.0	bc1002	D-Arabinose
D-Arabinose##bc1002##Metabolite	0.11047044	0.04319059	0.04319059	0.04319059	1.29e-06	0.0	D-Arabinose	bc1002
bc1002##D-Glucose##Microbe	-5.43548678	-2.12511047	-2.12511047	-2.12511047	-6.353e-05	0.0	bc1002	D-Glucose
D-Glucose##bc1002##Metabolite	5.43548678	2.12511047	2.12511047	2.12511047	6.353e-05	0.0	D-Glucose	bc1002
bc1002##Deoxycytidine##Microbe	-0.03303732	-0.01291659	-0.01291659	-0.01291659	-3.9e-07	0.0	bc1002	Deoxycytidine
Deoxycytidine##bc1002##Metabolite	0.03303732	0.01291659	0.01291659	0.01291659	3.9e-07	0.0	Deoxycytidine	bc1002
bc1002##Deoxyguanosine##Microbe	-0.00413155	-0.00161531	-0.00161531	-0.00161531	-5e-08	0.0	bc1002	Deoxyguanosine
Deoxyguanosine##bc1002##Metabolite	0.00413155	0.00161531	0.00161531	0.00161531	5e-08	0.0	Deoxyguanosine	bc1002
bc1002##Folate##Microbe	-0.01239465	-0.00484593	-0.00484593	-0.00484593	-1.4e-07	0.0	bc1002	Folate
Folate##bc1002##Metabolite	0.01239465	0.00484593	0.00484593	0.00484593	1.4e-07	0.0	Folate	bc1002
bc1002##GTP##Microbe	-0.1993615	-0.0779443	-0.0779443	-0.0779443	-2.33e-06	0.0	bc1002	GTP
GTP##bc1002##Metabolite	0.1993615	0.0779443	0.0779443	0.0779443	2.33e-06	0.0	GTP	bc1002
bc1002##Glycerol##Microbe	-0.09171152	-0.03585642	-0.03585642	-0.03585642	-1.07e-06	0.0	bc1002	Glycerol
Glycerol##bc1002##Metabolite	0.09171152	0.03585642	0.03585642	0.03585642	1.07e-06	0.0	Glycerol	bc1002
bc1002##Glycine##Microbe	-0.73416275	-0.28703537	-0.28703537	-0.28703537	-8.58e-06	0.0	bc1002	Glycine
Glycine##bc1002##Metabolite	0.73416275	0.28703537	0.28703537	0.28703537	8.58e-06	0.0	Glycine	bc1002
bc1002##H+##Microbe	7.51738914	2.93907115	2.93907115	2.93907115	8.787e-05	1e-08	bc1002	H+
bc1002##H2O##Microbe	19.59556492	7.66127155	7.66127155	7.66127155	0.00022904	2e-08	bc1002	H2O
bc1002##Heme##Microbe	-0.00413155	-0.00161531	-0.00161531	-0.00161531	-5e-08	0.0	bc1002	Heme
Heme##bc1002##Metabolite	0.00413155	0.00161531	0.00161531	0.00161531	5e-08	0.0	Heme	bc1002
bc1002##K+##Microbe	-0.00413155	-0.00161531	-0.00161531	-0.00161531	-5e-08	0.0	bc1002	K+
K+##bc1002##Metabolite	0.00413155	0.00161531	0.00161531	0.00161531	5e-08	0.0	K+	bc1002
bc1002##L-Alanine##Microbe	-0.6668777	-0.26072895	-0.26072895	-0.26072895	-7.79e-06	0.0	bc1002	L-Alanine
L-Alanine##bc1002##Metabolite	0.6668777	0.26072895	0.26072895	0.26072895	7.79e-06	0.0	L-Alanine	bc1002
bc1002##L-Arginine##Microbe	-0.36321544	-0.14200622	-0.14200622	-0.14200622	-4.25e-06	0.0	bc1002	L-Arginine
L-Arginine##bc1002##Metabolite	0.36321544	0.14200622	0.14200622	0.14200622	4.25e-06	0.0	L-Arginine	bc1002
bc1002##L-Asparagine##Microbe	-0.29568622	-0.11560434	-0.11560434	-0.11560434	-3.46e-06	0.0	bc1002	L-Asparagine
L-Asparagine##bc1002##Metabolite	0.29568622	0.11560434	0.11560434	0.11560434	3.46e-06	0.0	L-Asparagine	bc1002
bc1002##L-Aspartate##Microbe	-0.29568622	-0.11560434	-0.11560434	-0.11560434	-3.46e-06	0.0	bc1002	L-Aspartate
L-Aspartate##bc1002##Metabolite	0.29568622	0.11560434	0.11560434	0.11560434	3.46e-06	0.0	L-Aspartate	bc1002
bc1002##L-Cysteine##Microbe	-0.11211162	-0.04383224	-0.04383224	-0.04383224	-1.31e-06	0.0	bc1002	L-Cysteine
L-Cysteine##bc1002##Metabolite	0.11211162	0.04383224	0.04383224	0.04383224	1.31e-06	0.0	L-Cysteine	bc1002
bc1002##L-Glutamate##Microbe	-0.22449099	-0.08776917	-0.08776917	-0.08776917	-2.62e-06	0.0	bc1002	L-Glutamate
L-Glutamate##bc1002##Metabolite	0.22449099	0.08776917	0.08776917	0.08776917	2.62e-06	0.0	L-Glutamate	bc1002
bc1002##L-Glutamine##Microbe	-0.46572915	-0.18208597	-0.18208597	-0.18208597	-5.44e-06	0.0	bc1002	L-Glutamine
