	MetConSIN	DirectDFBA	Difference	ABS_Difference	SameSign
bc1003##L-Tyrosine	-0.01846066414598729	-0.13014491	0.11168424585401271	0.11168424585401271	1.0
bc1001##Heme	-0.0004275502482361686	-0.00301417	0.0025866197517638314	0.0025866197517638314	1.0
bc1001##L-Threonine	-0.032159330303095035	-0.22671845	0.19455911969690495	0.19455911969690495	1.0
bc1003##L-Glutamine	-0.03265674983488622	-0.23022518	0.19756843016511377	0.19756843016511377	1.0
bc1003##Acetate	0.8896432010027602	6.27185102	-5.382207818997239	5.382207818997239	1.0
bc1001##Cl-	-0.00042755024823390913	-0.00301417	0.002586619751766091	0.002586619751766091	1.0
bc1003##L-Phenylalanine	-0.02363782457069111	-0.16664311	0.1430052854293089	0.1430052854293089	1.0
bc1012##CoA	-0.0008842039423093521	-0.00822335	0.007339146057690649	0.007339146057690649	1.0
bc1012##NADP	-0.0008842039423186988	-0.00822335	0.007339146057681302	0.007339146057681302	1.0
bc1001##L-Proline	-0.028088528998919487	-0.19801991	0.16993138100108052	0.16993138100108052	1.0
bc1009##D-Arabinose	-0.011494478939895856	-0.08103435	0.06953987106010415	0.06953987106010415	1.0
bc1009##Thiamin	-0.00042988893128192925	-0.00303065	0.0026007610687180708	0.0026007610687180708	1.0
bc1009##L-Phenylalanine	-0.02367157907084641	-0.16688108	0.14320950092915358	0.14320950092915358	1.0
bc1003##L-Serine	-0.032646350868788004	-0.23015187	0.197505519131212	0.197505519131212	1.0
bc1009##NH3	0.0021494446564138715	0.01515326	-0.013003815343586128	0.013003815343586128	1.0
bc1001##Zn2+	-0.0004275502482345031	-0.00301417	0.002586619751765497	0.002586619751765497	1.0
bc1012##K+	-0.0004421019711588829	-0.00411168	0.0036695780288411176	0.0036695780288411176	1.0
bc1009##L-Alanine	-0.06938880562285393	-0.48918066	0.41979185437714606	0.41979185437714606	1.0
bc1003##PPi	0.0028235467983611035	0.01990558	-0.017082033201638896	0.017082033201638896	1.0
bc1003##ddca	-0.0038260294606114326	-0.02697293	0.023146900539388567	0.023146900539388567	1.0
bc1001##L-Cysteine	-0.011601783716939103	-0.08179083	0.07018904628306089	0.07018904628306089	1.0
bc1001##O2	-0.9999999999999996	-7.04984988	6.04984988	6.04984988	1.0
bc1009##Mn2+	-0.00042988893128239936	-0.00303065	0.0026007610687176007	0.0026007610687176007	1.0
bc1009##AMP	-0.016018569703411405	-0.11292851	0.09690994029658859	0.09690994029658859	1.0
bc1009##Spermidine	-0.00042988893128152245	-0.00303065	0.0026007610687184776	0.0026007610687184776	1.0
bc1009##S-Adenosyl-L-methionine	-0.0012896667938185515	-0.00909196	0.007802293206181448	0.007802293206181448	1.0
bc1003##1,2-Diacyl-sn-glycerol dioctadecanoyl	-0.019058002322127163	-0.13435606	0.11529805767787284	0.11529805767787284	1.0
bc1012##L-Histidine	-0.012487742797416808	-0.1161396	0.10365185720258319	0.10365185720258319	1.0
bc1001##GTP	-0.020630768508165868	-0.14544382	0.12481305149183414	0.12481305149183414	1.0
