	0.34855	0.37629999999999997	0.40315	0.7985	Source	Target
bc1001##L-Isoleucine##Microbe	2.87532247	0.22287289	0.12629861999999997	0.28816632000000003	bc1001	L-Isoleucine
L-Isoleucine##bc1001##Metabolite	-2.87532247	-0.22287289	-0.12629861999999997	-0.28816632000000003	L-Isoleucine	bc1001
bc1001##L-Leucine##Microbe	4.46389841	0.34600708	0.19607687000000001	0.44737424000000003	bc1001	L-Leucine
L-Leucine##bc1001##Metabolite	-4.46389841	-0.34600708	-0.19607687000000001	-0.44737424000000003	L-Leucine	bc1001
bc1001##L-Lysine##Microbe	3.39425727	0.26309673000000006	0.14909284	0.34017425	bc1001	L-Lysine
L-Lysine##bc1001##Metabolite	-3.39425727	-0.26309673000000006	-0.14909284	-0.34017425	L-Lysine	bc1001
bc1001##L-Methionine##Microbe	1.4529993399999999	0.11262533999999999	0.06382304	0.14562034999999998	bc1001	L-Methionine
L-Methionine##bc1001##Metabolite	-1.4529993399999999	-0.11262533999999999	-0.06382304	-0.14562034999999998	L-Methionine	bc1001
bc1001##L-Phenylalanine##Microbe	1.83745284	0.14242522000000002	0.08071016	0.18415049	bc1001	L-Phenylalanine
L-Phenylalanine##bc1001##Metabolite	-1.83745284	-0.14242522000000002	-0.08071016	-0.18415049	L-Phenylalanine	bc1001
bc1001##L-Proline##Microbe	2.1922348	0.16992519	0.09629397999999997	0.21970692	bc1001	L-Proline
