	MetConSIN	DirectDFBA	Difference	ABS_Difference	SameSign
bc1015##Arsenate	0.0002906560810564227	0.0017606712695000001	-0.0014700151884435774	0.0014700151884435774	1.0
bc1010##Mn2+	-0.0006099253782343013	-0.003504818044	0.0028948926657656987	0.0028948926657656987	1.0
bc1002##Co2+	-0.0006121871408478103	-0.003513342027	0.0029011548861521894	0.0029011548861521894	1.0
bc1010##Ala-Ala	-0.005436112993272165	-0.0312375342305	0.025801421237227833	0.025801421237227833	1.0
bc1002##Nicotinamide ribonucleotide	-0.0006121871408485937	-0.003513342027	0.002901154886151406	0.002901154886151406	1.0
bc1015##CMP	-0.017422552277679013	-0.10553825792249999	0.08811570564482098	0.08811570564482098	1.0
bc1011##Sulfate	-0.0006109473676253541	-0.003510701233	0.0028997538653746458	0.0028997538653746458	1.0
bc1011##BIOT	-0.0006109473676256323	-0.003510701233	0.002899753865374368	0.002899753865374368	1.0
bc1010##L-Valine	-0.07655872274685939	-0.439929294298	0.3633705715511406	0.3633705715511406	1.0
bc1011##CoA	-0.0012218947352702686	-0.007021402466	0.005799507730729732	0.005799507730729732	1.0
bc1015##dATP	-0.0036092648100040244	-0.0218633561965	0.018254091386495978	0.018254091386495978	1.0
bc1015##D-Arabinose	-0.015543271572438625	-0.09415438487	0.07861111329756137	0.07861111329756137	1.0
D-Glucose##bc1015	0.1389216158832309	4.502153037323501	-4.36323142144027	4.36323142144027	1.0
bc1015##Co2+	-0.0005813121621087555	-0.0035213425390000002	0.0029400303768912445	0.0029400303768912445	1.0
O2##bc1015	0.06823418998912868	8.188397062937	-8.120162872947871	8.120162872947871	1.0
bc1002##ddca	-0.01626918052273762	-0.09336874084199999	0.07709956031926236	0.07709956031926236	1.0
bc1015##UMP	-0.01939766862200854	-0.1175026485945	0.09810497997249147	0.09810497997249147	1.0
bc1011##Zn2+	-0.0006109473676241318	-0.003510701233	0.0028997538653758683	0.0028997538653758683	1.0
bc1011##BET	-0.001221894735246258	-0.007021402466	0.005799507730753742	0.005799507730753742	1.0
bc1015##L-Isoleucine	-0.050089965267642186	-0.30342324597	0.2533332807023578	0.2533332807023578	1.0
bc1015##Thiamin	-0.0005813121621142553	-0.0035213425390000002	0.002940030376885745	0.002940030376885745	1.0
bc1011##Chorismate	-0.0012218947352541471	-0.007021402466	0.005799507730745853	0.005799507730745853	1.0
bc1011##L-Leucine	-0.08172837504815773	-0.4696372853315	0.3879089102833423	0.3879089102833423	1.0
bc1010##dGTP	-0.003988024043897583	-0.0229163767105	0.018928352666602418	0.018928352666602418	1.0
bc1002##fe3	-0.0018365614225477086	-0.0105400221745	0.008703460751952292	0.008703460751952292	1.0
bc1010##Ca2+	-0.000609925378233931	-0.003504818044	0.002894892665766069	0.002894892665766069	1.0
bc1015##Ca2+	-0.0005813121621094759	-0.0035213425390000002	0.0029400303768905246	0.0029400303768905246	1.0
bc1015##Mg	-0.0005813121621083126	-0.0035213425390000002	0.0029400303768916877	0.0029400303768916877	1.0
bc1010##L-Isoleucine	-0.05255548223962571	-0.301999506419	0.24944402417937428	0.24944402417937428	1.0
bc1010##Chorismate	-0.001219850756461657	-0.0070096321815	0.005789781425038343	0.005789781425038343	1.0
bc1002##Ala-Ala	-0.005456271520175107	-0.031313519562	0.025857248041824894	0.025857248041824894	1.0
bc1010##dATP	-0.0023651590571615927	-0.0135909127315	0.011225753674338406	0.011225753674338406	1.0
bc1011##H+	1.1155657818090265	6.410396539904501	-5.2948307580954745	5.2948307580954745	1.0
bc1011##Acetate	1.243899893706644	7.1478452492265	-5.9039453555198556	5.9039453555198556	1.0
bc1002##PPi	0.0034616257169424814	0.0198662518275	-0.01640462611055752	0.01640462611055752	1.0
bc1011##meso-2,6-Diaminopimelate	-0.005445221730180638	-0.031289978993	0.02584475726281936	0.02584475726281936	1.0
bc1010##4-Hydroxybenzoate	-0.0006099253782335918	-0.003504818044	0.002894892665766408	0.002894892665766408	1.0
bc1015##1,2-Diacyl-sn-glycerol dioctadecanoyl	-0.025807756123413413	-0.156332168681	0.1305244125575866	0.1305244125575866	1.0
bc1002##L-Phenylalanine	-0.03370972187532596	-0.1934599236115	0.15975020173617405	0.15975020173617405	1.0
bc1002##Pyridoxal	-0.0006121871408494617	-0.003513342027	0.0029011548861505383	0.0029011548861505383	1.0
bc1015##meso-2,6-Diaminopimelate	-0.005181090524152013	-0.031384789748	0.026203699223847986	0.026203699223847986	1.0
bc1015##4-Hydroxybenzoate	-0.0005813121621008923	-0.0035213425390000002	0.002940030376899108	0.002940030376899108	1.0
bc1011##1,2-Diacyl-sn-glycerol dioctadecanoyl	-0.02712343160102902	-0.155859888457	0.12873645685597096	0.12873645685597096	1.0
bc1015##L-Proline	-0.038190139264831016	-0.23133926960949996	0.19314913034466896	0.19314913034466896	1.0
bc1010##Heme	-0.0006099253782298588	-0.003504818044	0.0028948926657701413	0.0028948926657701413	1.0
bc1002##D-Glucose	-0.8053962462359388	-4.6221650926035	3.816768846367561	3.816768846367561	1.0
bc1015##Putrescine	-0.0005813121621110435	-0.0035213425390000002	0.002940030376888957	0.002940030376888957	1.0
bc1010##Sulfate	-0.0006099253782329816	-0.003504818044	0.0028948926657670184	0.0028948926657670184	1.0
bc1002##Myristic acid	-0.01646844859826606	-0.0945123413715	0.07804389277323394	0.07804389277323394	1.0
bc1010##L-Tyrosine	-0.026229347489761294	-0.1507216729135	0.1244923254237387	0.1244923254237387	1.0
