	Avg_bc1016	Var_bc1016	Avg_bc1010	Var_bc1010	Avg_bc1015	Var_bc1015	Avg_bc1011	Var_bc1011	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
H+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
H2O	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
HYXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Heme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Inosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
K+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
L-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
L-Arabinose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Arginine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
L-Aspartate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
L-Cysteine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
L-Glutamate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
