	0.0000-0.0000	0.0000-0.0012	0.0012-0.0727	0.0727-0.0728	0.0728-0.0732	0.0732-20.0000	Source	Target
Spermidine-e0##Acetate-e0##Bacteroides_caecimuris_I48	0.0	-0.8333333333223797	1.0000000000018807	2.66666666666435	2.6666666666651695	2.666666666666037	Spermidine-e0	Acetate-e0
Fumarate-e0##Acetate-e0##Bacteroides_caecimuris_I48	0.0	-1.1333333333171607	0.0	-1.00000000000058	-1.000000000000919	-1.0000000000011708	Fumarate-e0	Acetate-e0
O2-e0##Acetate-e0##Bacteroides_caecimuris_I48	0.0	-3.3333333332953523	2.0000000000149125	0.0	0.0	0.0	O2-e0	Acetate-e0
Folate##Acetate-e0##Bacteroides_caecimuris_I48	0.0	-4.233333333313684	-5.999999999976145	-3.666666666674735	-3.666666666673712	-3.666666666673283	Folate	Acetate-e0
Riboflavin##Acetate-e0##Bacteroides_caecimuris_I48	0.0	-2.366666666661888	-2.9999999999939617	1.3333333333270796	1.3333333333289008	1.3333333333304145	Riboflavin	Acetate-e0
PAN##Acetate-e0##Bacteroides_caecimuris_I48	0.0	2000.8453093007638	1739.128686128149	-361.4336712571287	-361.4336712580935	-361.433671258775	PAN	Acetate-e0
Folate##Formate-e0##Bacteroides_caecimuris_I48	0.0	-0.9999999999999675	-1.0000000000001124	-0.999999999999637	-0.9999999999992553	-0.9999999999993147	Folate	Formate-e0
Riboflavin##Formate-e0##Bacteroides_caecimuris_I48	0.0	-3.000000000000003	-3.0000000000000626	-2.9999999999991553	-2.999999999998439	-2.999999999998632	Riboflavin	Formate-e0
PAN##Formate-e0##Bacteroides_caecimuris_I48	0.0	5.499999999970463	5.499999999940277	5.499999999508661	5.499999999163244	5.499999999255446	PAN	Formate-e0
Fumarate-e0##Fumarate-e0##Bacteroides_caecimuris_I48	0.0	-1.0	-0.9999999999999998	-1.0000000000000024	-1.0000000000000016	-1.0000000000000013	Fumarate-e0	Fumarate-e0
Fumarate-e0##Succinate-e0##Bacteroides_caecimuris_I48	0.0	1.0000000000081708	1.0000000000063525	1.000000000001371	0.0	1.0000000000010045	Fumarate-e0	Succinate-e0
Folate##Succinate-e0##Bacteroides_caecimuris_I48	0.0	-1.9999999999904439	-1.999999999986071	-1.999999999974556	0.3333333333106739	-0.9999999999742908	Folate	Succinate-e0
Riboflavin##Succinate-e0##Bacteroides_caecimuris_I48	0.0	-0.9999999999977592	-0.9999999999964423	-0.9999999999755491	3.3333333333163098	-0.9999999999752506	Riboflavin	Succinate-e0
PAN##Succinate-e0##Bacteroides_caecimuris_I48	0.0	1034.4135806146849	1034.4135806148777	1034.4135806047545	-1060.5216715739027	1000.2655749621046	PAN	Succinate-e0
Spermidine-e0##H2-e0##Bacteroides_caecimuris_I48	0.0	-0.8333333333202945	1.0000000000014209	2.666666666665229	2.6666666666647405	2.66666666666486	Spermidine-e0	H2-e0
Fumarate-e0##H2-e0##Bacteroides_caecimuris_I48	0.0	-1.1333333333143758	0.0	-0.9999999999998254	-0.9999999999995476	-0.9999999999996368	Fumarate-e0	H2-e0
O2-e0##H2-e0##Bacteroides_caecimuris_I48	0.0	-3.333333333288902	2.0000000000150377	0.0	0.0	0.0	O2-e0	H2-e0
Folate##H2-e0##Bacteroides_caecimuris_I48	0.0	-4.233333333310353	-5.9999999999703	-3.6666666666672194	-3.6666666666679	-3.666666666667834	Folate	H2-e0
Riboflavin##H2-e0##Bacteroides_caecimuris_I48	0.0	-2.3666666666611675	-2.99999999999242	1.3333333333315325	1.3333333333302864	1.3333333333306627	Riboflavin	H2-e0
PAN##H2-e0##Bacteroides_caecimuris_I48	0.0	2354.6966887641324	2092.980065591755	-7.582291794935248	-7.5822917943317645	-7.582291794517675	PAN	H2-e0
